"Location","String Value","String Representation","Data Type"
"82003dec","IO error","\"IO error\"","ds"
"82003df8","Product key does not exist or is invalid","\"Product key does not exist or is invalid\"","ds"
"82003e24","Buffer extraction overflow","\"Buffer extraction overflow\"","ds"
"82003e40","Invalid wait","\"Invalid wait\"","ds"
"82003e50","Access denied","\"Access denied\"","ds"
"82003e60","Operation denied","\"Operation denied\"","ds"
"82003e78","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Platform.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Platform.cpp\"","ds"
"82003ef4","ReturnCode ","\"ReturnCode \"","ds"
"82003f00","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ProfilingUnit.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/ProfilingUnit.cpp\"","ds"
"82003f64"," (origin ","\" (origin \"","ds"
"82003f70","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
"82003fcc","\, line ","\"\, line \"","ds"
"82003fd8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
"82004040","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
"820040a0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
"82004100","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
